millis,x,y,z,state
175549,-0.380859375,0.59765625,-0.71875,OnFace
175652,-0.380859375,0.59765625,-0.71875,OnFace
175751,-0.380859375,0.59765625,-0.71875,OnFace
175847,-0.380859375,0.59765625,-0.71875,OnFace
175984,-0.380859375,0.59765625,-0.71875,OnFace
176111,-0.380859375,0.59765625,-0.71875,OnFace
176208,-0.380859375,0.59765625,-0.720703125,OnFace
176310,-0.380859375,0.59765625,-0.720703125,OnFace
176438,-0.380859375,0.59765625,-0.71875,OnFace
176534,-0.380859375,0.59765625,-0.71875,OnFace
176641,-0.380859375,0.59765625,-0.71875,OnFace
176798,-0.380859375,0.59765625,-0.71875,OnFace
176911,-0.380859375,0.59765625,-0.71875,OnFace
177013,-0.380859375,0.59765625,-0.71875,OnFace
177111,-0.380859375,0.59765625,-0.71875,OnFace
177211,-0.380859375,0.59765625,-0.71875,OnFace
177313,-0.380859375,0.599609375,-0.71875,OnFace
177414,-0.380859375,0.599609375,-0.71875,OnFace
177511,-0.3828125,0.59765625,-0.71875,OnFace
177665,-0.380859375,0.59765625,-0.71875,OnFace
177794,-0.380859375,0.59765625,-0.71875,OnFace
177894,-0.380859375,0.59765625,-0.71875,OnFace
177993,-0.380859375,0.59765625,-0.71875,OnFace
178094,-0.380859375,0.59765625,-0.71875,OnFace
178236,-0.380859375,0.59765625,-0.71875,OnFace
178385,-0.380859375,0.59765625,-0.71875,OnFace
178507,-0.380859375,0.59765625,-0.71875,OnFace
178606,-0.380859375,0.59765625,-0.71875,OnFace
178703,-0.380859375,0.59765625,-0.71875,OnFace
178865,-0.380859375,0.59765625,-0.71875,OnFace
179018,-0.380859375,0.59765625,-0.71875,OnFace
179139,-0.3828125,0.59765625,-0.71875,OnFace
179236,-0.380859375,0.59765625,-0.71875,OnFace
179336,-0.380859375,0.59765625,-0.71875,OnFace
